frame,status,target_id,center_x,center_y,target_x,target_y
489,detected,3,523.123,685.267,618.619,683.095
490,detected,3,523.474,685.843,618.499,681.125
491,detected,3,523.711,685.689,619.444,682.23
492,detected,3,523.841,685.154,619.444,681.23
493,detected,3,523.912,684.635,619.147,679.213
494,detected,3,524.307,684.24,619.338,678.261
495,detected,3,524.945,683.926,619.353,676.162
496,detected,3,525.296,683.753,619.353,676.162
497,detected,3,526.738,684.764,620.5,678
498,detected,3,527.661,685.661,620.5,678.5
499,detected,3,527.909,686.373,620,678
500,detected,3,528.625,687.555,621.85,678.717
501,detected,3,529.244,688.43,622.66,679.026
502,detected,3,530.164,689.266,622.619,677.002
503,detected,3,530.99,690.496,624.156,680.615
504,detected,3,531.669,692.073,624.813,683.982
505,detected,3,532.647,693.84,624.5,681.5
506,detected,3,533.481,695.712,626.757,684.414
507,detected,3,534.069,697.533,626.757,686.414
508,detected,3,534.68,699.497,626.626,685.95
509,detected,3,535.274,701.749,628.185,689.938
510,detected,3,535.601,703.437,627.897,691.034
511,detected,3,536.557,706.184,630.5,695
512,detected,3,537.206,708.126,630.5,696
513,detected,3,537.563,709.194,630.5,695.5
514,detected,3,538.569,710.306,630.944,691.802
515,detected,3,539.17,711.315,632.39,694.291
516,detected,3,539.543,712.298,631.5,693
517,detected,3,539.749,713.064,632,694.5
518,detected,3,539.862,713.935,632.39,696.291
519,detected,3,540.374,715.089,632.908,696.697
520,detected,3,543.356,719.099,637.5,704
521,detected,3,545.293,721.621,638,704.5
522,detected,3,546.511,723.591,638.5,705.5
523,detected,3,547.585,725.384,639.188,707.625
524,detected,3,552.177,730.052,645.5,713
525,detected,3,554.917,732.687,646.073,713.463
526,detected,3,556.619,733.882,646.662,712.669
527,detected,3,558.761,734.026,647.696,709.652
528,detected,3,560.219,734.32,657.942,707.635
529,detected,3,561.245,734.851,658.029,707.586
530,detected,3,562.035,734.693,658.572,707.278
531,detected,3,684.419,663.731,797.404,686.734
532,detected,3,759.606,621.777,816.987,681.795
533,detected,3,809.283,596.227,835.486,675.952
534,detected,3,863.285,556.396,898.421,619.69
535,detected,3,892.086,532.688,896.371,615.854
